taxid,group_id,description,recommendation,penalty,type,disposition
928676,1,WRONGFULLY PREPARED A COMPLAINT REPORT FOR AN INCORRECT OFFENSE.,,VACATION DAYS (60 day(s) ),charge,GUILTY
958846,1,"WHILE OFF-DUTY, WRONGFULLY PARTICIPATED IN A PHYSICAL ALTERCATION WITH ONE (1) OR MORE OTHER PEOPLE.",,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
958846,1,"WHILE OFF-DUTY, WRONGFULLY POSSESSED A SPRING-ASSISTED KNIFE",,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
936994,1,01.,B-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
936994,1,01.Violated Department of Motor Vehicles rules.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
936994,2,01.Violated patrol rules (improperly perform patrol/assignment.),A-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
941061,1,WHILE ON-DUTY FAILED TO PROPERLY VOUCHER AND SECURE A CELLULAR PHONE RECOVERED FROM AN ARRESTEE.,,VACATION DAYS (8 day(s) ),charge,GUILTY
960850,1,01.Discourtesy.,TRAINING,TRAINING,allegation,
960850,1,01.Improper entry of premise.,TRAINING,TRAINING,allegation,
960850,1,02.Improper frisk.,TRAINING,TRAINING,allegation,
960850,1,02.Improperly threatened to use force.,TRAINING,TRAINING,allegation,
961539,1,01.Wrongful entry of a premises.,A-CD,,allegation,
961539,1,02.Wrongful search of a premises.,A-CD,,allegation,
955104,1,Wrongful used physical force.,,VACATION DAYS (12 day(s) ),charge,GUILTY
933952,1,"FAILED TO PROPERLY PERFORM HIS DUTIES AS DIRECTED BY COMPETENT AUTHORITY, IN THAT SAID POLICE OFFICER DID FAIL TO CONDUCT A PROPER AND THOROUGH SEARCH FOR A SPECIAL CATEGORY MISSING PERSON, IDENTITY KNOWN TO THE DEPARTMENT.",,VACATION DAYS (15 day(s) ),charge,GUILTY
956860,1,"WHILE OFF-DUTY, HAVING WITNESSED THE ACCIDENTAL DISCHARGE OF ONE ROUND FROM A FIREARM BY ANOTHER MEMBER OF SERVICE, FAILED TO REMAIN AT THE SCENE, REQUEST THE RESPONSE OF THE PATROL SUPERVISOR, OR TO NOTIFY THE INTERNAL AFFAIRS BUREAU, AS REQUIRED.",,VACATION DAYS (25 day(s) ),charge,GUILTY
958850,1,01.Failed to activate their body worn camera,NO DISCIPLINARY ACTION,,allegation,
958850,2,01.Violated patrol rules - failed to provide business card,A-CD,A - COMMAND DISCIPLINE,allegation,
958850,3,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
932932,1,WHILE ON DUTY WAS DISCOURTEOUS TO A PERSON KNOWN TO THE DEPARTMENT.,,VACATION DAYS (25 day(s) ),charge,GUILTY
932932,1,WHILE ON DUTY USED FORCE ON A PERSON KNOWN TO THE DEPARTMENT WITHOUT POLICE NECESSITY.,,VACATION DAYS (25 day(s) ),charge,GUILTY
932932,1,"WHILE ON DUTY, AUTHORIZED A STRIP SEARCH OF A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",,VACATION DAYS (25 day(s) ),charge,GUILTY
932932,1,WHILE ON DUTY ISSUED AN UNREASONABLE NOISE SUMMONS TO A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.,,VACATION DAYS (25 day(s) ),charge,GUILTY
953026,1,01.Wrongfully searched a vehicle.,B-CD,,allegation,
953026,1,02.Wrongfully searched an individual known to the Department.,B-CD,,allegation,
953026,1,03.Wrongfully stopped a vehicle.,B-CD,,allegation,
946517,1,01.Wrongfully used physical force.,NO DISCIPLINARY ACTION,,allegation,
966678,1,01.Failed to prepare required reports.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
924100,1,WHILE ON-DUTY DID WRONGFULLY UTILIZE DEPARTMENT COMPUTERS TO CONDUCT SAFETY NET INQUIRIES THAT WERE UNRELATED TO THE OFFICAL BUSINESS OF THE DEPARTMENT.,,VACATION DAYS (10 day(s) ),charge,GUILTY
936999,1,Operated a motor vehicle while their ability was impaired.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",charge,GUILTY
936999,1,Refused to submit to a breathalyzer test.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",charge,GUILTY
936999,1,Accident resulting in property damage.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",charge,GUILTY
936999,1,Unfit for duty.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",charge,GUILTY
936999,1,Open container of alcohol in a vehicle.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",charge,GUILTY
936999,2,Involved in a physical altercation.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (10 day(s) )",charge,PLEADED GUILTY
936999,2,Endangered the welfare of a child.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (10 day(s) )",charge,PLEADED GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO SECURE SAID PRISONER WITH A SEAT-BELT.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO WEAR THE PROPER UNIFORM.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO SECURE AND SAFEGUARD THE PROPERTY OF A PRISONER.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, HAVING BECOME AWARE OF AN ALLEGATION OF MISCONDUCT, WRONGFULLY FAILED TO REPORT SAID ALLEGATION TO THE INTERNAL AFFAIRS BUREAU.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, ABUSED HIS AUTHORITY AS A MEMBER OF THE NEW YORK CITY POLICE DEPARTMENT IN THAT HE STOPPED A PERSON KNOWN TO THE DEAPRTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO PROPERLY SUPERVISE HIS SUBORDINATES.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED AND NEGLECTED TO MAKE ACTIVITY LOG ENTRIES.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO NOTIFY THE OPERATIONS UNIT.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO PREPARE AN UNUSUAL OCCURRENCE REPORT.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,"WHILE ON-DUTY, IMPROPERLY FAILED TO TRANSMIT THE DISPOSITION OR INTERIM DISPOSITION TO THE RADIO DISPATCHER.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,2,"WHILE ON-DUTY,  WAS ABSENT FROM HIS ASSIGNMENT WITHOUT PERMISSION OR POLICE NECESSITY AND WRONGFULLY FAILED TO SUBMIT LEAVE OF ABSENCE REPORTS (UF-28) FOR SAID ABSENCES.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,2,"WHILE ON-DUTY, WRONGFULLY MADE OR CAUSED TO BE MADE INACCURATE ENTRIES IN DEPARTMENT RECORDS.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,2,"WHILE ON-DUTY,  WRONGFULLY MADE INACCURATE ENTRIES IN DEPARTMENT RECORDS.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,3,WHILE ON DUTY WRONGFULLY FAILED TO RENDER REASONABLE AID TO AN ADULT REQUIRING CARE DUE TO THE ARREST OF THE PERSON RESPONSIBLE FOR HER CARE.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
940403,1,01.Paid Detail Violation,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES",allegation,
963130,1,"WHILE OFF-DUTY, WRONGFULLY DISCHARGED ONE ROUND FROM HIS FIREARM, CAUSING PROPERTY DAMAGE.",,VACATION DAYS (10 day(s) ),charge,GUILTY
925647,1,01.Violated patrol rules.,A-CD,,allegation,
925647,2,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
925647,3,01.Wrongfully searched a vehicle.,A-CD,,allegation,
925647,4,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
953030,1,Wrongfully used physical force.,,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (19 day(s) )",charge,PLEADED GUILTY
953030,1,Failure to activate body-worn camera.,,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (19 day(s) )",charge,PLEADED GUILTY
953030,1,Failed to make proper notifications to Patrol Supervisor.,,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (19 day(s) )",charge,PLEADED GUILTY
