taxid,group_id,description,recommendation,penalty,type,disposition
959706,1,"Failed to conduct an investigation.
Failure to take police action.",,VACATION DAYS (20 day(s) ),charge,GUILTY
959706,1,"Failed to conduct an investigation.
Failure to take police action.",,VACATION DAYS (20 day(s) ),charge,GUILTY
936798,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
936798,2,01.Failed to activate their body-worn camera.,B-CD,"B - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES",allegation,
936798,2,02.Failed to make proper notifications (Patrol/Unit Supervisor).,B-CD,"B - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES",allegation,
936798,2,03.Failed to make required entries in Department Logs.,B-CD,"B - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES",allegation,
936798,2,"04.Failed to prepare a Property Clerk's Invoice Worksheet, as required.",B-CD,"B - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES",allegation,
936799,1,WHILE OFF DUTY LEFT THE SCENE OF A MOTOR VEHICLE ACCIDENT WITHOUT CONTACTING THE POLICE.,,VACATION DAYS (20 day(s) ),charge,GUILTY
940290,1,Operated a motor vehicle while under the influence of an intoxicant.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (25 day(s) )",charge,PLEADED GUILTY
940290,1,Operated a motor vehicle while under the influence of an intoxicant.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (25 day(s) )",charge,PLEADED GUILTY
940290,1,Operated a motor vehicle while ability impaired.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (25 day(s) )",charge,PLEADED GUILTY
940290,1,Unfit for duty.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (25 day(s) )",charge,PLEADED GUILTY
941281,1,"WHILE ON-DUTY, WAS DISCOURTEOUS TO A PERSON KNOWN TO THE DEPARTMENT",,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941281,1,"WHILE ON-DUTY, DID REFUSE TO PROVIDE HIS NAME AND SHIELD NUMBER TO A PERSON KNOWN TO THE DEPARTMENT",,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941281,1,"WHILE ON-DUTY,  DID WRONGFULLY MAKE MISLEADING AND INACCURATE STATEMENTS TO THE CIVILIAN COMPLAINT REVIEW BOARD",,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941281,2,"WHILE ON-DUTY, SAID OFFICER FAILED TO TAKE POLICE ACTION AND PROPERLY INVESTIGATE A RADIO RUN",,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941281,1,01.Wrongfully discourteous to an individual known to the Department.,TRAINING,"B - COMMAND DISCIPLINE, VACATION DAYS (2 day(s) )",allegation,
949134,1,"while on-duty, improperly utilized her Department-issued smartphone.",,VACATION DAYS (10 day(s) ),charge,GUILTY
953991,1,01.Failed to prepare required reports.,A-CD,A - COMMAND DISCIPLINE,allegation,
925507,1,WHILE OFF-DUTY WAS INVOLVED IN A PERSONAL PHYSICAL ALTERCATION WITH A  PERSON KNOWN TO THE DEPARTMENT.,,VACATION DAYS (15 day(s) ),charge,GUILTY
925507,1,"WHILE OFF-DUTY, AFTER BEING INVOLVED IN A PERSONAL PHYSICAL ALTERCATION, FAILED TO REQUEST THE RESPONSE OF THE PATROL SUPERVISOR.",,VACATION DAYS (15 day(s) ),charge,GUILTY
925507,1,"WHILE OFF-DUTY, AFTER BEING INVOLVED IN A PERSONAL PHYSICAL ALTERCATION, DISCARDED ANOTHER PERSON'S PERSONAL PROPERTY WITHOUT PERMISSION OR AUTHORITY.",,VACATION DAYS (15 day(s) ),charge,GUILTY
962498,1,01.Violated patrol rules.,CHARGES AND SPECIFICATIONS,,allegation,
962498,1,01.Wrongfully searched a vehicle.,CHARGES AND SPECIFICATIONS,,allegation,
962498,1,02.Wrongfully threatened to arrest an individual known to the Department.,CHARGES AND SPECIFICATIONS,,allegation,
962498,2,01.Failed to prepare required reports.,OTHER,,allegation,
965215,1,"01.Wrongfully discourteous.
Wrongfully used offensive language.",B-CD,,allegation,
965215,1,02.Wrongfully discourteous.,B-CD,,allegation,
943405,1,01.Failure to timely make proper notifications.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
943405,1,02.Involved in verbal altercation.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
968508,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,A - COMMAND DISCIPLINE,allegation,
953993,1,01.Violated patrol rules - failed to provide a business card,A-CD,A - COMMAND DISCIPLINE,allegation,
954968,1,01.Violated patrol rules.,B-CD,"B - COMMAND DISCIPLINE, TRAINING, VACATION DAYS (1 day(s) )",allegation,
954968,1,02.Wrongfully searched a vehicle.,B-CD,"B - COMMAND DISCIPLINE, TRAINING, VACATION DAYS (1 day(s) )",allegation,
964935,1,01.Violated patrol rules.,A-CD,,allegation,
964935,2,01.Wrongfully frisked an individual known to the Department.,TRAINING,TRAINING,allegation,
964935,2,02.Wrongfully questioned an individual known to the Department.,TRAINING,TRAINING,allegation,
953994,1,WHILE OFF-DUTY CONSUMED ONE OR MORE INTOXICANTS TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (20 day(s) ), RESTORATION OF SUSPENSION DAYS (10 day(s) )",charge,GUILTY
953994,1,WHILE OFF-DUTY FAILED TO IDENTIFY HIMSELF TO A 911 OPERATOR WHO ASKED HIM IF HE WAS A MEMBER OF THE SERVICE.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (20 day(s) ), RESTORATION OF SUSPENSION DAYS (10 day(s) )",charge,GUILTY
953994,1,WHILE OFF-DUTY DISPLAYED AN UNAUTHORIZED DUPLICATE POLICE SHIELD.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (20 day(s) ), RESTORATION OF SUSPENSION DAYS (10 day(s) )",charge,GUILTY
960718,1,01.Wrongfully used physical force.,NO DISCIPLINARY ACTION,,allegation,
959710,1,01.Discourtesy.,INSTRUCTIONS,INSTRUCTIONS,allegation,
959710,2,01.Violated patrol rules.,A-CD,,allegation,
972018,1,01.Failed to activate their body worn camera.,TRAINING,TRAINING,allegation,
940298,1,01.Failed to activate their body worn camera.,OTHER,,allegation,
960720,1,01.Criminal association.,OTHER,"C - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
960720,1,02.Made computer inquiries unrelated to official Department business.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
951845,1,"WHILE ON-DUTY, WRONGFULLY FAILED TO TERMINATE A VEHICLE PURSUIT DUE TO THE RISKS TO MEMBERS OF THE SERVICE AND THE PUBLIC.",,VACATION DAYS (10 day(s) ),charge,GUILTY
968511,1,01.Violated patrol rules.,TRAINING,TRAINING,allegation,
915950,1,"WHILE ON-DUTY, WAS DISCOURTEOUS TO A SUPERVISOR.",,VACATION DAYS (20 day(s) ),charge,GUILTY
915950,1,"AFTER BEING GIVEN A LAWFUL  ORDER BY A SUPERVISOR, DISREGARDED SAID ORDER.",,VACATION DAYS (20 day(s) ),charge,GUILTY
915950,1,"WHILE ON-DUTY, WAS DISCOURTEOUS TO A SUPERVISOR.",,VACATION DAYS (20 day(s) ),charge,GUILTY
960722,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
951846,1,"WHILE ON-DUTY, UNLAWFULLY DETAINED A PERSON KNOWN TO THE DEPARTMENT",,VACATION DAYS (2 day(s) ),charge,GUILTY
951846,1,"WHILE ON-DUTY, ISSUED A SUMMONS TO A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY",,VACATION DAYS (2 day(s) ),charge,GUILTY
951846,1,"WHILE ON-DUTY, ISSUED A SUMMONS TO A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY",,VACATION DAYS (2 day(s) ),charge,GUILTY
951846,1,"WHILE ON-DUTY, ISSUED A SUMMONS TO A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY",,VACATION DAYS (2 day(s) ),charge,GUILTY
950625,1,01.Wrongful entry of a premises,A-CD,A - COMMAND DISCIPLINE,allegation,
950625,1,02.Wrongful search of a premises.,A-CD,A - COMMAND DISCIPLINE,allegation,
967930,1,01.Wrongfully stopped an individual known to the Department.,A-CD,,allegation,
943398,1,FAILED TO COMPLY WITH DIRECTIONS FROM BRATTLEBORO POLICE OFFICERS.,,VACATION DAYS (15 day(s) ),charge,GUILTY
943398,1,UNFIT FOR DUTY/OFF-DUTY .,,VACATION DAYS (15 day(s) ),charge,GUILTY
952889,1,01.Wrongful threat of force.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
969132,1,01.Wrongfully disseminated confidential Department information.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
969132,2,01.Wrongful entry of a premises.,NO DISCIPLINARY ACTION,,allegation,
954001,1,01.Failed to make proper notifications.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
954001,1,02.Involved in a physical altercation.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
961836,1,01.Violated patrol rules.,A-CD,,allegation,
968515,1,01.Failed to timely activate body worn camera.,A-CD,,allegation,
952891,1,"Failed an Integrity Test.
Failed to prepare a Property Clerk's Invoice Worksheet, as required.",,VACATION DAYS (15 day(s) ),charge,GUILTY
967931,1,01.Wrongfully searched a vehicle.,A-CD,A - COMMAND DISCIPLINE,allegation,
954003,1,Failed to make entries in activity log.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
954003,1,False/misleading statements.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
965219,1,01.Off-duty employment without permission.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
950627,1,01.Failed to activate their body-worn camera.,OTHER,,allegation,
926992,1,"KNOWINGLY ASSOCIATED WITH A PERSON REASONABLY BELIEVED TO BE ENGAGED IN, LIKELY TO ENGAGE IN, OR TO HAVE ENGAGED IN CRIMINAL ACTIVITIES",,VACATION DAYS (2 day(s) ),charge,GUILTY
