taxid,group_id,description,recommendation,penalty,type,disposition
935351,1,WHILE ON DUTY WRONGFULLY FAILED TO SUPERVISE A SUBORDINATE MEMBER OF THE SERVICE.,,VACATION DAYS (20 day(s) ),charge,GUILTY
936054,1,01.Failed to make proper notification to EEO.,B-CD,B - COMMAND DISCIPLINE,allegation,
927230,1,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
927230,1,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
927230,1,"WHILE OFF-DUTY,  WAS UNFIT FOR DUTY",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
927230,1,"WHILE OFF-DUTY, WRONGFULLY REFUSED TO SUBMIT TO A CHEMICAL BREATH TEST TO DETERMINE HIS BLOOD ALCOHOL CONCENTRATION",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
927230,1,"WHILE OFF-DUTY,  WAS UNFIT FOR DUTY WHILE ARMED",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
927230,1,"WHILE OFF-DUTY, WAS IN POSSESSION OF AN UNAUTHORIZED FIREARM WHICH CONTAINED UNAUTHORIZED ROUNDS.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
961964,1,01.Wrongfully used physical force.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
961964,2,01.Violated patrol rules - failed to provide a business card,"A-CD,                                                                                                                                                                                                             TRAINING","A - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES, TRAINING",allegation,
961964,3,01.Failed to prepare required reports.,OTHER,,allegation,
949366,1,01.Violated patrol rules - failed to provide a business card,A-CD,A - COMMAND DISCIPLINE,allegation,
956114,1,DID FAIL AND NEGLECT TO PROPERLY SAFEGUARD HIS OFF-DUTY FIREARM,,VACATION DAYS (20 day(s) ),charge,GUILTY
934339,1,"WRONGFULLY FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS OFF DUTY FIREARM, RESULTING IN ITS LOSS OR THEFT.",,VACATION DAYS (20 day(s) ),charge,GUILTY
949368,1,01.Wrongfully deactivated their body-worn camera.,TRAINING,TRAINING,allegation,
956955,1,01.Threat to arrest,TRAINING,TRAINING,allegation,
967213,1,01.Wrongful search of a premises.,B-CD,,allegation,
968651,1,01.Failed to prepare required reports.,OTHER,,allegation,
953143,1,01.Violated patrol rules.,A-CD,,allegation,
965355,1,01.Violated patrol rules (RTK Act).,TRAINING,TRAINING,allegation,
