taxid,group_id,description,recommendation,penalty,type,disposition
958193,3,01.Wrongfully discourteous to an individual known to the Department.,A-CD,A - COMMAND DISCIPLINE,allegation,
958193,4,01.Failed to activate their body worn camera.,OTHER,,allegation,
939814,1,01.Failed to provide business card.,CHARGES AND SPECIFICATIONS,TRAINING,allegation,
939814,1,02.Wrongfully entered premises.,CHARGES AND SPECIFICATIONS,TRAINING,allegation,
953597,1,01.Wrongful removal to a hospital.,A-CD,,allegation,
969437,1,01.Violated patrol rules - failed to provide a business card,A-CD,"A - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
964848,1,01.Wrongful entry of a premises.,NO DISCIPLINARY ACTION,,allegation,
965910,1,01.Failed to activate their body worn camera,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
965910,1,02.Violated patrol rules,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
927702,1,01.Failed to prepare required reports.,TRAINING,,allegation,
951461,1,Operated a motor vehicle while under the influence of an intoxicant.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (40 day(s) )",charge,PLEADED GUILTY
951461,1,Operate a motor vehicle while their ability was impaired.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (40 day(s) )",charge,PLEADED GUILTY
951461,1,Unfit for duty.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (40 day(s) )",charge,PLEADED GUILTY
951461,1,Refused to sign to a breathalyzer/coordination test.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (40 day(s) )",charge,PLEADED GUILTY
